product_sku,location_id,stock_level,safety_stock,as_of
CG-2001,WH-NORTH,140,40,2026-05-21T07:00:00Z
CG-2002,WH-NORTH,210,50,2026-05-21T07:00:00Z
CG-2003,WH-SOUTH,85,30,2026-05-21T07:10:00Z
CG-2004,WH-NORTH,320,80,2026-05-21T07:00:00Z
CG-2005,WH-SOUTH,45,20,2026-05-21T07:10:00Z
CG-2006,WH-NORTH,175,50,2026-05-21T07:00:00Z
CG-2007,WH-SOUTH,260,60,2026-05-21T07:10:00Z
CG-2008,WH-NORTH,390,90,2026-05-21T07:00:00Z
CG-2009,WH-SOUTH,150,40,2026-05-21T07:10:00Z
CG-2010,WH-NORTH,68,25,2026-05-21T07:00:00Z
